item,condition,sentence,Group,quantifier,noun,category
40,1,Some cats are mammals.,4,Some,cats,mammals
40,2,Some mammals are cats.,5,Some,mammals,mammals
40,3,Some cats are shellfish.,6,Some,cats,mammals
40,4,All cats are mammals.,1,All,cats,mammals
40,5,All mammals are cats.,2,All,mammals,mammals
40,6,All cats are shellfish.,3,All,cats,mammals
41,1,Some sheeps are mammals.,5,Some,sheeps,mammals
41,2,Some mammals are sheeps.,6,Some,mammals,mammals
41,3,Some sheeps are insects.,1,Some,sheeps,mammals
41,4,All sheeps are mammals.,2,All,sheeps,mammals
41,5,All mammals are sheeps.,3,All,mammals,mammals
41,6,All sheeps are insects.,4,All,sheeps,mammals
42,1,Some pigs are mammals.,6,Some,pigs,mammals
42,2,Some mammals are pigs.,1,Some,mammals,mammals
42,3,Some pigs are birds.,2,Some,pigs,mammals
42,4,All pigs are mammals.,3,All,pigs,mammals
42,5,All mammals are pigs.,4,All,mammals,mammals
42,6,All pigs are birds.,5,All,pigs,mammals
43,1,Some elephants are mammals.,1,Some,elephants,mammals
43,2,Some mammals are elephants.,2,Some,mammals,mammals
43,3,Some elephants are reptiles.,3,Some,elephants,mammals
43,4,All elephants are mammals.,4,All,elephants,mammals
43,5,All mammals are elephants.,5,All,mammals,mammals
43,6,All elephants are reptiles.,6,All,elephants,mammals
44,1,Some monkeys are mammals.,2,Some,monkeys,mammals
44,2,Some mammals are monkeys.,3,Some,mammals,mammals
44,3,Some monkeys are shellfish.,4,Some,monkeys,mammals
44,4,All monkeys are mammals.,5,All,monkeys,mammals
44,5,All mammals are monkeys.,6,All,mammals,mammals
44,6,All monkeys are shellfish.,1,All,monkeys,mammals
45,1,Some cows are mammals.,3,Some,cows,mammals
45,2,Some mammals are cows.,4,Some,mammals,mammals
45,3,Some cows are insects.,5,Some,cows,mammals
45,4,All cows are mammals.,6,All,cows,mammals
45,5,All mammals are cows.,1,All,mammals,mammals
45,6,All cows are insects.,2,All,cows,mammals
46,1,Some beetles are insects.,4,Some,beetles,insects
46,2,Some insects are beetles.,5,Some,insects,insects
46,3,Some beetles are birds.,6,Some,beetles,insects
46,4,All beetles are insects.,1,All,beetles,insects
46,5,All insects are beetles.,2,All,insects,insects
46,6,All beetles are birds.,3,All,beetles,insects
47,1,Some mosquitoes are insects.,5,Some,mosquitoes,insects
47,2,Some insects are mosquitoes.,6,Some,insects,insects
47,3,Some mosquitoes are reptiles.,1,Some,mosquitoes,insects
47,4,All mosquitoes are insects.,2,All,mosquitoes,insects
47,5,All insects are mosquitoes.,3,All,insects,insects
47,6,All mosquitoes are reptiles.,4,All,mosquitoes,insects
48,1,Some butterflies are insects.,6,Some,butterflies,insects
48,2,Some insects are butterflies.,1,Some,insects,insects
48,3,Some butterflies are fish.,2,Some,butterflies,insects
48,4,All butterflies are insects.,3,All,butterflies,insects
48,5,All insects are butterflies.,4,All,insects,insects
48,6,All butterflies are fish.,5,All,butterflies,insects
49,1,Some flies are insects.,1,Some,flies,insects
49,2,Some insects are flies.,2,Some,insects,insects
49,3,Some flies are mammals.,3,Some,flies,insects
49,4,All flies are insects.,4,All,flies,insects
49,5,All insects are flies.,5,All,insects,insects
49,6,All flies are mammals.,6,All,flies,insects
50,1,Some ants are insects.,2,Some,ants,insects
50,2,Some insects are ants.,3,Some,insects,insects
50,3,Some ants are shellfish.,4,Some,ants,insects
50,4,All ants are insects.,5,All,ants,insects
50,5,All insects are ants.,6,All,insects,insects
50,6,All ants are shellfish.,1,All,ants,insects
51,1,Some cockroaches are insects.,3,Some,cockroaches,insects
51,2,Some insects are cockroaches.,4,Some,insects,insects
51,3,Some cockroaches are birds.,5,Some,cockroaches,insects
51,4,All cockroaches are insects.,6,All,cockroaches,insects
51,5,All insects are cockroaches.,1,All,insects,insects
51,6,All cockroaches are birds.,2,All,cockroaches,insects
52,1,Some bees are insects.,4,Some,bees,insects
52,2,Some insects are bees.,5,Some,insects,insects
52,3,Some bees are reptiles.,6,Some,bees,insects
52,4,All bees are insects.,1,All,bees,insects
52,5,All insects are bees.,2,All,insects,insects
52,6,All bees are reptiles.,3,All,bees,insects
53,1,Some wasps are insects.,5,Some,wasps,insects
53,2,Some insects are wasps.,6,Some,insects,insects
53,3,Some wasps are mammals.,1,Some,wasps,insects
53,4,All wasps are insects.,2,All,wasps,insects
53,5,All insects are wasps.,3,All,insects,insects
53,6,All wasps are mammals.,4,All,wasps,insects
54,1,Some caterpillars are insects.,6,Some,caterpillars,insects
54,2,Some insects are caterpillars.,1,Some,insects,insects
54,3,Some caterpillars are shellfish.,2,Some,caterpillars,insects
54,4,All caterpillars are insects.,3,All,caterpillars,insects
54,5,All insects are caterpillars.,4,All,insects,insects
54,6,All caterpillars are shellfish.,5,All,caterpillars,insects
